,molecule_chembl_id,canonical_smiles,bioactivity,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL122071,CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C,inactive,214.221,0.2259,1.0,4.0,4.0
1,CHEMBL124107,CCCCNC(=O)N1C(=O)C[C@H]1OC(C)=O,inactive,228.24799999999996,0.6175999999999997,1.0,4.0,4.167491087293763
2,CHEMBL120853,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,354.3620000000001,2.4778000000000002,2.0,4.0,4.0
4,CHEMBL333734,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)NCc1ccccc1,inactive,276.292,1.2636999999999998,1.0,4.0,4.568636235841013
5,CHEMBL74483,CC[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,368.3890000000001,2.8679000000000006,2.0,4.0,4.0
6,CHEMBL333117,CC(C)NC(=O)N1C(=O)C[C@H]1Oc1ccc(C(=O)O)cc1,inactive,292.291,1.4399999999999997,2.0,4.0,4.0
7,CHEMBL334176,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)Nc2ccccc2)cc1,inactive,326.308,2.554100000000001,2.0,4.0,4.0
8,CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,1.0,4.0,4.769551078621726
9,CHEMBL122731,CCC1(CC)C(=O)N(C(=O)NC)[C@@H]1OC(C)=O,inactive,242.27499999999998,0.8635999999999997,1.0,4.0,4.0
10,CHEMBL123589,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)Nc1ccccc1,inactive,262.265,1.586,1.0,4.0,4.0655015487564325
11,CHEMBL331459,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,1.0,4.0,4.0
12,CHEMBL123457,CC(=O)O[C@H]1N(C(=O)NCc2ccccc2)C(=O)C1(C)C,inactive,290.3190000000001,1.6538,1.0,4.0,4.0
13,CHEMBL123455,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)Nc1ccccc1,inactive,262.265,1.586,1.0,4.0,4.0
14,CHEMBL332366,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)NCc2ccccc2)cc1,inactive,340.335,2.2318,2.0,4.0,4.0
15,CHEMBL331210,CC(=O)O[C@@H]1CC(=O)N1C(=O)NCc1ccccc1,inactive,262.265,1.0176999999999998,1.0,4.0,4.376750709602099
16,CHEMBL122575,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,354.3620000000001,2.4778000000000002,2.0,4.0,4.698970004336019
17,CHEMBL305708,CC[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,368.3890000000001,2.8679000000000006,2.0,4.0,4.301029995663981
18,CHEMBL122963,CCNC(=O)N1C(=O)C[C@H]1OC(C)=O,inactive,200.19399999999996,-0.16260000000000008,1.0,4.0,4.0
22,CHEMBL48421,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,inactive,527.6470000000003,1.8461000000000003,1.0,6.0,4.657577319177793
23,CHEMBL47226,CC(=O)N1C(=O)C(C)(C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,330.384,2.181,0.0,4.0,3.3010299956639813
24,CHEMBL48562,COP(=O)(OC)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,382.3530000000001,2.6453000000000007,0.0,6.0,3.3010299956639813
25,CHEMBL46944,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,407.47000000000014,3.154200000000002,1.0,4.0,3.6020599913279625
26,CHEMBL296301,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,398.5030000000001,3.4532000000000025,0.0,4.0,3.3010299956639813
27,CHEMBL49731,C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,357.43500000000006,2.9055000000000017,0.0,5.0,3.3010299956639813
28,CHEMBL47429,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,inactive,594.7780000000002,3.7155000000000022,0.0,6.0,4.0
29,CHEMBL50373,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,440.4120000000002,3.2654000000000023,0.0,7.0,3.3010299956639813
30,CHEMBL297341,C[C@@H]1[C@H](C(=O)N2C(=O)[C@@H](C)[C@@H]3[C@@H]2CCN3C(=O)OCc2ccccc2)[C@@H]1C,inactive,370.44900000000007,2.673000000000001,0.0,4.0,4.142667503568732
31,CHEMBL298789,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,358.43800000000005,2.817100000000001,0.0,4.0,3.3010299956639813
32,CHEMBL300091,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,331.37199999999996,1.5837999999999994,1.0,4.0,3.3010299956639813
33,CHEMBL45899,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,4.3979400086720375
34,CHEMBL298170,COC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,332.356,2.0107999999999997,0.0,5.0,3.8297382846050425
35,CHEMBL301787,CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,356.4220000000001,2.4270000000000005,0.0,4.0,4.795880017344075
37,CHEMBL431158,C[C@@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,352.41200000000003,1.2040000000000002,0.0,5.0,3.3010299956639813
38,CHEMBL49788,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,395.41500000000013,3.3572000000000024,0.0,5.0,3.3010299956639813
40,CHEMBL299435,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,active,538.6700000000002,2.4433000000000007,0.0,6.0,6.468521082957745
41,CHEMBL48639,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,inactive,591.6900000000003,3.619500000000003,0.0,7.0,4.3872161432802645
42,CHEMBL58311,O=c1cc(-c2ccccc2)sc2ccccc12,inactive,238.311,3.9285000000000023,0.0,2.0,4.468521082957745
43,CHEMBL421075,CS(=O)(=O)c1ccc(-c2cc(=O)c3ccccc3s2)cc1,inactive,316.403,3.3320000000000016,0.0,4.0,4.468521082957745
44,CHEMBL123060,O=c1cc(-c2cccnc2)sc2ccccc12,inactive,239.299,3.323500000000001,0.0,3.0,4.468521082957745
45,CHEMBL122115,CS(=O)(=O)c1ccc(C2=CC(=O)c3ccccc3S2(=O)=O)cc1,active,348.40100000000007,2.1012000000000004,0.0,5.0,7.0
46,CHEMBL123391,O=c1cc(-c2ccccc2)[s+]([O-])c2ccccc12,inactive,254.31,3.5946000000000016,0.0,2.0,5.0
47,CHEMBL333186,O=C1C=C(c2cccs2)S(=O)(=O)c2ccccc21,active,276.338,2.7592000000000008,0.0,4.0,6.337242168318426
48,CHEMBL121931,O=C1C=C(c2ccc([N+](=O)[O-])cc2)S(=O)(=O)c2ccccc21,active,315.30600000000004,2.605900000000001,0.0,5.0,7.221848749616356
49,CHEMBL332411,Cc1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O,active,329.3330000000001,2.914320000000001,0.0,5.0,6.958607314841775
50,CHEMBL120448,CCOC(=O)c1ccc2c(c1)C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O,active,387.3690000000001,2.7826000000000013,0.0,7.0,6.7447274948966935
51,CHEMBL124175,O=C1C=C(c2ccncc2)S(=O)(=O)c2ccccc21,active,271.297,2.0927000000000002,0.0,4.0,7.0
52,CHEMBL263745,O=C1C=C(c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccccc21,active,346.4070000000001,4.364700000000004,0.0,3.0,7.221848749616356
54,CHEMBL123109,CC(C)c1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O,active,357.38700000000006,3.729300000000003,0.0,5.0,6.7447274948966935
56,CHEMBL124172,O=C1C=C(c2ccsc2)S(=O)(=O)c2ccccc21,inactive,276.338,2.7592000000000008,0.0,4.0,4.468521082957745
57,CHEMBL123989,Cc1cccc2c1C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O,active,329.333,2.914320000000002,0.0,5.0,7.0
58,CHEMBL331182,O=C1C=C(c2cccnc2)S(=O)(=O)c2ccccc21,active,271.297,2.0927000000000002,0.0,4.0,6.698970004336019
59,CHEMBL333256,O=C1C=C(c2ccc[n+]([O-])c2)S(=O)(=O)c2ccccc21,active,287.296,1.3311000000000002,0.0,4.0,6.221848749616356
60,CHEMBL333761,O=C1C=C(c2cc[n+]([O-])cc2)S(=O)(=O)c2ccccc21,active,287.29600000000005,1.3311000000000002,0.0,4.0,6.221848749616356
61,CHEMBL123991,CC(C)(C)C1=CC(=O)c2ccccc2S1(=O)=O,inactive,250.319,2.5866000000000007,0.0,3.0,4.468521082957745
62,CHEMBL51623,C[C@@H]1C(=O)N(C(=O)C2CCC2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,356.422,2.5711000000000004,0.0,4.0,4.494850021680094
63,CHEMBL298633,CC(C)C(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,344.41100000000006,2.4270000000000005,0.0,4.0,3.899629454882437
64,CHEMBL50036,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,358.43800000000005,2.817100000000001,0.0,4.0,3.3010299956639813
65,CHEMBL298136,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,inactive,383.4480000000001,1.2855,0.0,4.0,4.301029995663981
66,CHEMBL51822,C[C@@H]1C(=O)N(C(=O)CCO)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,346.38300000000004,1.1533999999999995,1.0,5.0,3.876148359032914
68,CHEMBL50828,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,inactive,512.6320000000002,2.053200000000001,0.0,6.0,3.3010299956639813
69,CHEMBL296157,CC1CC1C(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,356.4220000000001,2.4270000000000005,0.0,4.0,5.0
70,CHEMBL50073,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,4.102372908709558
73,CHEMBL51153,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)COc1ccccc1,inactive,316.35699999999997,1.0596999999999999,0.0,4.0,4.200659450546418
74,CHEMBL423120,CC(=O)N1C(=O)[C@H](C)C2[C@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,3.0
75,CHEMBL300717,CC(=O)N1C(=O)C(C)C2C1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,3.958607314841775
76,CHEMBL301715,CC(C)Oc1cccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)c1,inactive,503.6210000000003,2.0112999999999994,0.0,6.0,4.187086643357144
77,CHEMBL301610,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,active,512.6320000000002,2.053200000000001,0.0,6.0,6.267606240177032
78,CHEMBL301090,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(C)cc1,inactive,433.53000000000014,1.14242,0.0,5.0,3.7986028756795487
79,CHEMBL300679,C[C@@H]1C(=O)N(CC(O)COc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,424.4970000000002,2.6843000000000012,1.0,5.0,3.3010299956639813
80,CHEMBL51210,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,398.5030000000001,3.4532000000000025,0.0,4.0,3.3010299956639813
81,CHEMBL417540,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CC[C@H]3C2[C@H](C)C(=O)N3C=O)cc1,inactive,419.5030000000001,0.7523200000000003,0.0,5.0,4.853871964321762
82,CHEMBL50970,C[C@H]1C(=O)N(C(=O)C2CC2)[C@@H]2CCN(C(=O)C3CCCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@@H]12,inactive,552.6970000000002,2.833400000000001,0.0,6.0,4.886056647693163
85,CHEMBL50738,COc1ccc(C(=O)N2C(=O)[C@@H](C)C3[C@@H]2CCN3C(=O)OCc2ccccc2)cc1,inactive,408.4540000000001,3.0934000000000017,0.0,5.0,3.3010299956639813
86,CHEMBL50745,CC(=O)OCC(=O)N1C(=O)C(C)C2C1CCN2C(=O)OCc1ccccc1,inactive,374.39300000000014,1.3340999999999998,0.0,6.0,4.886056647693163
87,CHEMBL298960,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2CC(=O)Cc1ccccc1,inactive,314.38499999999993,1.2658999999999998,0.0,4.0,4.102372908709558
88,CHEMBL50778,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,inactive,383.4480000000001,1.2855,0.0,4.0,3.3010299956639813
89,CHEMBL50088,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,inactive,464.50000000000017,0.7422000000000006,0.0,7.0,4.958607314841775
90,CHEMBL51006,C[C@@H]1C(=O)N(C=O)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,302.33,1.4007999999999998,0.0,4.0,3.400116927926312
91,CHEMBL2115461,C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,370.44900000000007,2.673000000000001,0.0,4.0,4.0
93,CHEMBL2115030,C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,370.44900000000007,2.673000000000001,0.0,4.0,4.142667503568732
94,CHEMBL50095,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2S(=O)(=O)CCc1ccccc1,inactive,350.4400000000001,1.0266000000000004,0.0,4.0,4.346787486224656
95,CHEMBL295494,C[C@@H]1C(=O)N(C(=O)C2Cc3ccccc32)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,404.4660000000001,3.1109000000000018,0.0,4.0,4.939302159646388
96,CHEMBL299204,C[C@H]1C(=O)N(C(=O)C2CC2)[C@@H]2CCN(C(=O)CN(C)S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@@H]12,inactive,512.6320000000002,1.9107000000000007,0.0,6.0,4.0
98,CHEMBL288793,C[C@@H](NC(=O)N1C(=O)CC1SCc1ccc(CC(=O)OC(C)(C)C)cc1)c1ccccc1,inactive,454.5920000000002,4.833200000000005,1.0,5.0,4.1249387366083
106,CHEMBL433040,C[C@@H](NC(=O)N1C(=O)CC1SCC(=O)c1ccccc1)c1ccccc1,active,368.458,3.631700000000003,1.0,4.0,6.0
109,CHEMBL32936,CC(C)C[C@@H](COC1CC(=O)N1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C,inactive,399.53200000000027,2.3193,3.0,5.0,3.5228787452803374
110,CHEMBL35762,CC(C)C[C@@H](CSC1CC(=O)N1C(=O)NCc1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C,active,548.7500000000001,4.658100000000003,3.0,6.0,6.3979400086720375
111,CHEMBL35353,CC[C@H](NC(=O)N1C(=O)CC1SC[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)c1ccccc1,active,574.8320000000003,5.636900000000004,3.0,5.0,7.154901959985743
113,CHEMBL32166,CC(C)C[C@@H](COC1CC(=O)N1C(=O)N[C@@H](C)c1ccccc1)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C,active,546.7090000000002,4.502500000000003,3.0,6.0,6.522878745280337
115,CHEMBL335147,Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3cccs3)oc(=O)c12,active,374.4430000000001,3.2357200000000024,1.0,7.0,7.5376020021010435
116,CHEMBL433457,COc1ccc2nc(/C=C/c3cccc4cc(NS(=O)(=O)C(F)(F)F)ccc34)ccc2c1,active,458.4610000000001,5.828500000000004,1.0,4.0,8.468521082957745
117,CHEMBL57560,O=C(O)c1ccc(CNc2ccc3c(COc4ccccc4)cccc3c2)cc1,active,383.44700000000006,5.729100000000003,2.0,3.0,8.318758762624412
118,CHEMBL265046,Cc1csc2nc([C@H](C)NC(=O)/C=C/C(=O)c3cccc([N+](=O)[O-])c3)oc(=O)c12,active,413.4110000000002,3.0824200000000017,1.0,8.0,7.508638306165727
119,CHEMBL57561,O=C(O)c1ccc2c(/C=C/c3ccc4ccccc4n3)cccc2c1,active,325.367,5.256600000000003,1.0,2.0,7.301029995663981
120,CHEMBL52599,O=C(O)c1ccc(C(=O)Nc2ccc3c(COc4cccc(C(F)(F)F)c4)cccc3c2)cc1,active,465.427,6.388100000000004,2.0,3.0,7.818156412055227
122,CHEMBL440297,O=S(=O)(Nc1ccc2c(/C=C/c3ccc4ccccc4n3)cccc2c1)C(F)(F)F,active,428.43500000000006,5.819900000000003,1.0,3.0,8.022276394711152
123,CHEMBL299063,O=S(=O)(Nc1ccc2c(/C=C/c3cccc(C(F)(F)F)c3)cccc2c1)C(F)(F)F,active,445.384,6.290500000000003,1.0,2.0,8.187086643357144
